NewQuestion,M
Title,VHDL slicing + reductions (randomized matching)
QuestionText,"<p><b>Given the following signal declarations and concurrent signal assignments:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>signal h, a, g, e: std_logic;
signal d, f: std_logic_vector(3 downto 0);
signal b, c: std_logic_vector(7 downto 0);

b &lt;= &quot;00100110&quot;;
c &lt;= b(2 downto 0) &amp; b(7 downto 3);
(d, f) &lt;= (b(7 downto 4), b(3 downto 0));
h &lt;= XOR(b);
a &lt;= XNOR(b(5 downto 2));
(g, e) &lt;= b(3 downto 2);</pre><p><b>Using correct VHDL notation for literals, match each signal to its value.</b></p><p><b>Values:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>(a) &quot;0010&quot;
(b) &#x27;1&#x27;
(c) &quot;11000100&quot;
(d) &quot;0110&quot;
(e) &quot;00100110&quot;
(f) &#x27;0&#x27;
(g) &#x27;1&#x27;
(h) &#x27;1&#x27;</pre>",HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(h)
Choice,2,(b)
Choice,3,(e)
Choice,4,(g)
Choice,5,(c)
Choice,6,(d)
Choice,7,(a)
Choice,8,(f)
Match,2,a
Match,3,b
Match,5,c
Match,7,d
Match,4,e
Match,6,f
Match,8,g
Match,1,h


NewQuestion,M
Title,VHDL slicing + reductions (randomized matching)
QuestionText,"<p><b>Given the following signal declarations and concurrent signal assignments:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>signal a, h, g, b: std_logic;
signal f, c: std_logic_vector(3 downto 0);
signal e, d: std_logic_vector(7 downto 0);

e &lt;= &quot;11110001&quot;;
d &lt;= e(3 downto 0) &amp; e(7 downto 4);
(f, c) &lt;= (e(7 downto 4), e(3 downto 0));
a &lt;= XOR(e);
h &lt;= XNOR(e(5 downto 0));
(g, b) &lt;= e(7 downto 6);</pre><p><b>Using correct VHDL notation for literals, match each signal to its value.</b></p><p><b>Values:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>(a) &#x27;1&#x27;
(b) &#x27;0&#x27;
(c) &quot;1111&quot;
(d) &quot;11110001&quot;
(e) &quot;00011111&quot;
(f) &#x27;1&#x27;
(g) &quot;0001&quot;
(h) &#x27;1&#x27;</pre>",HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(e)
Choice,2,(b)
Choice,3,(f)
Choice,4,(h)
Choice,5,(a)
Choice,6,(d)
Choice,7,(g)
Choice,8,(c)
Match,3,a
Match,4,b
Match,7,c
Match,1,d
Match,6,e
Match,8,f
Match,5,g
Match,2,h


NewQuestion,M
Title,VHDL slicing + reductions (randomized matching)
QuestionText,"<p><b>Given the following signal declarations and concurrent signal assignments:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>signal b, e, g, h: std_logic;
signal c, a: std_logic_vector(3 downto 0);
signal f, d: std_logic_vector(7 downto 0);

f &lt;= &quot;01110010&quot;;
d &lt;= f(5 downto 0) &amp; f(7 downto 6);
(c, a) &lt;= (f(3 downto 0), f(7 downto 4));
b &lt;= XOR(f);
e &lt;= XNOR(f(6 downto 5));
(g, h) &lt;= f(2 downto 1);</pre><p><b>Using correct VHDL notation for literals, match each signal to its value.</b></p><p><b>Values:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>(a) &#x27;0&#x27;
(b) &quot;0111&quot;
(c) &quot;01110010&quot;
(d) &quot;0010&quot;
(e) &quot;11001001&quot;
(f) &#x27;0&#x27;
(g) &#x27;1&#x27;
(h) &#x27;1&#x27;</pre>",HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(e)
Choice,2,(f)
Choice,3,(g)
Choice,4,(b)
Choice,5,(d)
Choice,6,(a)
Choice,7,(h)
Choice,8,(c)
Match,4,a
Match,6,b
Match,5,c
Match,1,d
Match,3,e
Match,8,f
Match,2,g
Match,7,h


NewQuestion,M
Title,VHDL slicing + reductions (randomized matching)
QuestionText,"<p><b>Given the following signal declarations and concurrent signal assignments:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>signal h, b, e, c: std_logic;
signal d, a: std_logic_vector(3 downto 0);
signal f, g: std_logic_vector(7 downto 0);

f &lt;= &quot;10100101&quot;;
g &lt;= f(2 downto 0) &amp; f(7 downto 3);
(d, a) &lt;= (f(3 downto 0), f(7 downto 4));
h &lt;= XOR(f);
b &lt;= XNOR(f(5 downto 3));
(e, c) &lt;= f(5 downto 4);</pre><p><b>Using correct VHDL notation for literals, match each signal to its value.</b></p><p><b>Values:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>(a) &#x27;0&#x27;
(b) &#x27;1&#x27;
(c) &quot;10100101&quot;
(d) &quot;1010&quot;
(e) &quot;0101&quot;
(f) &quot;10110100&quot;
(g) &#x27;0&#x27;
(h) &#x27;0&#x27;</pre>",HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(a)
Choice,2,(e)
Choice,3,(h)
Choice,4,(f)
Choice,5,(b)
Choice,6,(c)
Choice,7,(d)
Choice,8,(g)
Match,7,a
Match,3,b
Match,8,c
Match,2,d
Match,5,e
Match,6,f
Match,4,g
Match,1,h


NewQuestion,M
Title,VHDL slicing + reductions (randomized matching)
QuestionText,"<p><b>Given the following signal declarations and concurrent signal assignments:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>signal g, a, d, e: std_logic;
signal c, f: std_logic_vector(3 downto 0);
signal b, h: std_logic_vector(7 downto 0);

b &lt;= &quot;11011000&quot;;
h &lt;= b(3 downto 0) &amp; b(7 downto 4);
(c, f) &lt;= (b(7 downto 4), b(3 downto 0));
g &lt;= XOR(b);
a &lt;= XNOR(b(6 downto 0));
(d, e) &lt;= b(2 downto 1);</pre><p><b>Using correct VHDL notation for literals, match each signal to its value.</b></p><p><b>Values:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>(a) &#x27;0&#x27;
(b) &#x27;0&#x27;
(c) &quot;11011000&quot;
(d) &quot;1000&quot;
(e) &quot;10001101&quot;
(f) &#x27;0&#x27;
(g) &quot;1101&quot;
(h) &#x27;0&#x27;</pre>",HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(h)
Choice,2,(a)
Choice,3,(e)
Choice,4,(f)
Choice,5,(b)
Choice,6,(d)
Choice,7,(c)
Choice,8,(g)
Match,2,a
Match,7,b
Match,8,c
Match,5,d
Match,1,e
Match,6,f
Match,4,g
Match,3,h


NewQuestion,M
Title,VHDL slicing + reductions (randomized matching)
QuestionText,"<p><b>Given the following signal declarations and concurrent signal assignments:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>signal d, e, g, c: std_logic;
signal h, a: std_logic_vector(3 downto 0);
signal b, f: std_logic_vector(7 downto 0);

b &lt;= &quot;00000101&quot;;
f &lt;= b(2 downto 0) &amp; b(7 downto 3);
(h, a) &lt;= (b(7 downto 4), b(3 downto 0));
d &lt;= XOR(b);
e &lt;= XNOR(b(6 downto 0));
(g, c) &lt;= b(7 downto 6);</pre><p><b>Using correct VHDL notation for literals, match each signal to its value.</b></p><p><b>Values:</b></p><pre style='margin:0; padding:0; background:transparent; border:none; font-family:monospace; white-space:pre;'>(a) &quot;00000101&quot;
(b) &quot;0000&quot;
(c) &quot;10100000&quot;
(d) &#x27;0&#x27;
(e) &#x27;0&#x27;
(f) &#x27;0&#x27;
(g) &quot;0101&quot;
(h) &#x27;1&#x27;</pre>",HTML
Points,10
Difficulty,1
Scoring,EquallyWeighted
Choice,1,(h)
Choice,2,(b)
Choice,3,(f)
Choice,4,(c)
Choice,5,(a)
Choice,6,(g)
Choice,7,(d)
Choice,8,(e)
Match,6,a
Match,5,b
Match,8,c
Match,7,d
Match,1,e
Match,4,f
Match,3,g
Match,2,h


NewQuestion,M
Title,VHDL slicing + reductions (randomized matching)
